match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12020072,0,0,4,2,,,,,,,,,
12020073,1,1,6,6,2,,,5,,,,,
12020074,2,2,4,6,6,,,,,,,,
12020075,0,0,2,3,,,,,,,,,
12020509,0,0,3,5,,,,,,,,,
12020510,2,2,6,0,6,,,,,,,,
12020513,2,2,6,3,6,,,,,,,,
12020532,2,2,6,6,,,,,,,,,
12020544,2,2,6,2,7,,,,,16,,,
12020555,2,2,6,6,,,,,,,,,
12020624,0,0,3,4,,,,,,,,,
12020718,1,1,6,7,0,,,1,7,,,,
12021294,2,2,7,6,,,,,,,,,
12021309,2,2,6,3,7,,,,,8,,,
12021318,0,0,2,1,,,,,,,,,
12021328,0,0,1,3,,,,,,,,,
12021399,2,2,6,6,,,,,,,,,
12021419,2,2,6,1,7,,,,,,,,
12021434,2,2,7,6,,,,7,,,,,
12021435,0,0,5,2,,,,,,,,,
12021442,2,2,7,7,,,,,7,,,,
12021451,0,0,0,3,,,,,,,,,
12021493,0,0,2,0,,,,,,,,,
12021494,2,2,6,4,6,,,,,,,,
12021502,1,1,2,6,4,,,,,,,,
12021503,1,1,3,6,1,,,,,,,,
12021508,2,2,6,7,,,,,7,,,,
12021512,,,,,,,,,,,,,
12021516,1,1,3,7,4,,,,7,,,,
12021518,0,0,5,4,,,,,,,,,
12021519,0,0,5,4,,,,,,,,,
12021521,0,0,2,3,,,,,,,,,
12021522,2,2,6,6,,,,,,,,,
12021530,0,0,2,1,,,,,,,,,
12021532,2,2,6,6,,,,,,,,,
12021538,1,1,7,6,1,,,,3,,,,
12021539,2,2,6,6,,,,,,,,,
12021558,0,0,4,5,,,,,,,,,
12021562,0,0,2,4,,,,,,,,,
12021566,1,1,6,4,3,,,,,,,,
12021581,2,2,7,6,6,,,,6,,,,
12021589,0,0,2,2,,,,,,,,,
12021590,0,0,4,0,,,,,,,,,
12021599,0,0,4,4,,,,,,,,,
12021601,2,2,6,3,6,,,,,,,,
12021605,2,2,4,6,6,,,,,,,,
12021622,0,0,0,3,,,,,,,,,
12021623,0,0,3,1,,,,,,,,,
12021624,0,0,3,1,,,,,,,,,
12021658,0,0,2,4,,,,,,,,,
12021659,0,0,3,4,,,,,,,,,
12021806,2,2,6,5,6,,,,,,,,
12021807,0,0,1,4,,,,,,,,,
12021848,2,2,6,6,,,,,,,,,
12022185,1,1,6,4,,,,,,,,,
12022248,2,2,6,6,,,,,,,,,
12022250,1,1,6,3,2,,,,,,,,
12022251,0,0,2,2,,,,,,,,,
12022262,0,0,4,0,,,,,,,,,
12022282,2,2,6,6,,,,,,,,,
12022295,2,2,6,6,,,,,,,,,
12022305,1,1,4,6,4,,,,,,,,
12022321,1,1,3,6,6,,,,,10,,,
12022327,1,1,6,3,1,,,,,,,,
12022336,0,0,1,5,,,,,,,,,
12022371,0,0,1,2,,,,,,,,,
12022396,1,1,5,6,1,,,,,,,,
12022430,1,1,6,6,4,,,,3,,,,
12022438,2,2,6,2,6,,,,,,,,
12022439,0,0,4,1,,,,,,,,,
12022452,2,2,6,6,,,,,,,,,
12022453,0,0,6,4,,,,5,,,,,
12022492,2,2,4,6,6,,,,,,,,
12022513,2,2,7,3,6,,,,,,,,
12022525,2,2,6,7,,,,,,,,,
12022526,2,2,3,7,6,,,,7,,,,
12022527,0,0,5,2,,,,,,,,,
12022528,,,,,,,,,,,,,
12022562,0,0,1,4,,,,,,,,,
12022672,2,2,5,7,6,,,,7,,,,
12022674,0,0,5,2,,,,,,,,,
12022675,0,0,2,2,,,,,,,,,
12022680,0,0,2,0,,,,,,,,,
12022685,0,0,3,6,,,,,5,,,,
12022703,2,2,6,6,,,,,,,,,
