match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
12020072,2,2,6,6,,,,,,,,,
12020073,2,2,7,4,6,,,7,,,,,
12020074,1,1,6,1,0,,,,,,,,
12020075,2,2,6,6,,,,,,,,,
12020509,2,2,6,7,,,,,,,,,
12020510,1,1,4,6,4,,,,,,,,
12020513,1,1,2,6,3,,,,,,,,
12020532,0,0,1,4,,,,,,,,,
12020544,1,1,4,6,6,,,,,14,,,
12020555,0,0,2,2,,,,,,,,,
12020624,2,2,6,6,,,,,,,,,
12020718,2,2,7,6,6,,,7,4,,,,
12021294,0,0,5,0,,,,,,,,,
12021309,1,1,4,6,6,,,,,6,,,
12021318,2,2,6,6,,,,,,,,,
12021328,2,2,6,6,,,,,,,,,
12021399,0,0,4,4,,,,,,,,,
12021419,1,1,1,6,5,,,,,,,,
12021434,0,0,6,1,,,,5,,,,,
12021435,2,2,7,6,,,,,,,,,
12021442,0,0,5,6,,,,,3,,,,
12021451,2,2,6,6,,,,,,,,,
12021493,1,1,6,1,,,,,,,,,
12021494,1,1,3,6,2,,,,,,,,
12021502,2,2,6,0,6,,,,,,,,
12021503,2,2,6,3,6,,,,,,,,
12021508,0,0,4,6,,,,,3,,,,
12021512,,,,,,,,,,,,,
12021516,2,2,6,6,6,,,,3,,,,
12021518,2,2,7,6,,,,,,,,,
12021519,2,2,7,6,,,,,,,,,
12021521,2,2,6,6,,,,,,,,,
12021522,0,0,4,0,,,,,,,,,
12021530,2,2,6,6,,,,,,,,,
12021532,0,0,4,2,,,,,,,,,
12021538,2,2,5,7,6,,,,7,,,,
12021539,0,0,1,0,,,,,,,,,
12021558,2,2,6,7,,,,,,,,,
12021562,2,2,6,6,,,,,,,,,
12021566,2,2,4,6,6,,,,,,,,
12021581,1,1,5,7,4,,,,8,,,,
12021589,2,2,6,6,,,,,,,,,
12021590,2,2,6,6,,,,,,,,,
12021599,2,2,6,6,,,,,,,,,
12021601,1,1,4,6,1,,,,,,,,
12021605,1,1,6,3,2,,,,,,,,
12021622,2,2,6,6,,,,,,,,,
12021623,2,2,6,6,,,,,,,,,
12021624,2,2,6,6,,,,,,,,,
12021658,2,2,6,6,,,,,,,,,
12021659,2,2,6,6,,,,,,,,,
12021806,1,1,3,7,4,,,,,,,,
12021807,2,2,6,6,,,,,,,,,
12021848,0,0,4,4,,,,,,,,,
12022185,0,0,3,0,,,,,,,,,
12022248,0,0,2,3,,,,,,,,,
12022250,2,2,3,6,6,,,,,,,,
12022251,2,2,6,6,,,,,,,,,
12022262,2,2,6,6,,,,,,,,,
12022282,0,0,3,2,,,,,,,,,
12022295,0,0,1,0,,,,,,,,,
12022305,2,2,6,4,6,,,,,,,,
12022321,2,2,6,1,7,,,,,12,,,
12022327,1,1,2,6,3,,,,,,,,
12022336,2,2,6,7,,,,,,,,,
12022371,2,2,6,6,,,,,,,,,
12022396,2,2,7,4,6,,,,,,,,
12022430,2,2,4,7,6,,,,7,,,,
12022438,1,1,3,6,1,,,,,,,,
12022439,2,2,6,6,,,,,,,,,
12022452,0,0,3,3,,,,,,,,,
12022453,2,2,7,6,,,,7,,,,,
12022492,1,1,6,0,4,,,,,,,,
12022513,1,1,5,6,3,,,,,,,,
12022525,0,0,3,5,,,,,,,,,
12022526,1,1,6,6,3,,,,5,,,,
12022527,2,2,7,6,,,,,,,,,
12022528,,,,,,,,,,,,,
12022562,2,2,6,6,,,,,,,,,
12022672,1,1,7,6,2,,,,4,,,,
12022674,2,2,7,6,,,,,,,,,
12022675,2,2,6,6,,,,,,,,,
12022680,2,2,6,6,,,,,,,,,
12022685,2,2,6,7,,,,,7,,,,
12022703,0,0,1,3,,,,,,,,,
12022718,2,2,6,6,6,,,,4,,,,
12022727,2,2,5,6,6,,,,,,,,
12022801,0,0,4,1,,,,,,,,,
12022802,2,2,6,6,,,,,,,,,
12023335,1,1,2,6,5,,,,,,,,
12023340,0,0,2,1,,,,,,,,,
12023348,0,0,0,2,,,,,,,,,
12023350,1,1,5,7,3,,,,7,,,,
12023352,0,0,3,4,,,,,,,,,
12023353,1,1,4,6,4,,,,,,,,
12023361,,,,,,,,,,,,,
12023362,0,0,3,2,,,,,,,,,
12023461,2,2,6,3,6,,,,,,,,
12023462,2,2,4,6,6,,,,,,,,
12023465,0,0,4,,,,,,,,,,
12023470,1,1,4,6,6,,,,,10,,,
