match_id,set_num,game_num,value,break_occurred
11998445,1,1,-52.8,False
11998445,1,2,48.14,False
11998445,1,3,-51.62,False
11998445,1,4,10.0,False
11998445,1,5,26.6,True
11998445,1,6,10.0,False
11998445,1,7,-10.0,False
11998445,1,8,-59.3,True
11998445,1,9,-33.02,False
11998445,1,10,36.82,False
11998445,1,11,-26.36,False
11998445,1,12,-32.98,True
11998445,2,1,-12.6,False
11998445,2,2,10.0,False
11998445,2,3,53.1,True
11998445,2,4,43.12,False
11998445,2,5,-10.0,False
11998445,2,6,32.36,False
11998445,2,7,63.18,True
11998445,2,8,27.32,False
11998445,3,1,32.4,True
11998445,3,2,39.18,False
11998445,3,3,-13.78,False
11998445,3,4,-55.12,True
11998445,3,5,-43.42,False
11998445,3,6,36.18,False
11998445,3,7,44.5,True
11998445,3,8,16.82,False
11998445,3,9,-19.26,False
11998445,3,10,-83.98,True
11998445,3,11,-21.82,False
11998445,3,12,10.0,False
11998445,3,13,-50.0,False
11998446,1,1,10.0,False
11998446,1,2,-51.46,False
11998446,1,3,23.48,False
11998446,1,4,-30.82,False
11998446,1,5,53.98,False
11998446,1,6,-10.0,False
11998446,1,7,10.0,False
11998446,1,8,-10.0,False
11998446,1,9,-40.98,True
11998446,1,10,-36.0,False
11998446,2,1,-58.8,True
11998446,2,2,66.54,True
11998446,2,3,-42.6,True
11998446,2,4,-46.44,False
11998446,2,5,-78.66,True
11998446,2,6,-23.12,False
11998446,2,7,-17.82,True
11998447,1,1,-10.0,False
11998447,1,2,10.0,False
11998447,1,3,15.68,True
11998447,1,4,30.32,False
11998447,1,5,-10.0,False
11998447,1,6,10.0,False
11998447,1,7,-35.16,False
11998447,1,8,46.4,False
11998447,1,9,-46.42,False
11998447,1,10,10.0,False
11998447,2,1,34.7,True
11998447,2,2,39.64,False
11998447,2,3,52.78,True
11998447,2,4,41.2,False
11998447,2,5,33.42,True
11998447,2,6,10.2,False
11998448,1,1,-10.0,False
11998448,1,2,10.0,False
11998448,1,3,-54.68,False
11998448,1,4,10.0,False
11998448,1,5,43.18,True
11998448,1,6,35.5,False
11998448,1,7,-10.0,False
11998448,1,8,58.0,False
11998448,1,9,-16.4,False
11998448,1,10,37.9,False
11998448,2,1,-52.8,False
11998448,2,2,10.0,False
11998448,2,3,47.26,True
11998448,2,4,69.48,False
11998448,2,5,62.8,True
11998448,2,6,-10.0,True
11998448,2,7,-10.0,False
11998448,2,8,-28.02,True
11998448,2,9,72.82,True
11998448,2,10,11.96,False
11998449,1,1,-21.1,False
11998449,1,2,-58.22,True
11998449,1,3,-28.32,False
11998449,1,4,10.0,False
11998449,1,5,-10.0,False
11998449,1,6,-35.0,True
11998449,1,7,-14.94,False
11998449,2,1,-39.3,True
11998449,2,2,-34.76,False
11998449,2,3,39.56,False
11998449,2,4,-47.62,False
11998449,2,5,26.8,False
11998449,2,6,-10.0,False
11998449,2,7,10.0,False
11998449,2,8,-10.0,False
11998449,2,9,10.0,False
11998449,2,10,-10.0,False
11998450,1,1,20.4,True
11998450,1,2,10.0,False
11998450,1,3,42.58,True
11998450,1,4,39.76,False
11998450,1,5,-12.4,False
11998450,1,6,39.78,False
11998450,1,7,61.16,True
11998450,2,1,10.1,False
11998450,2,2,-56.68,False
11998450,2,3,10.0,False
11998450,2,4,-44.44,False
11998450,2,5,10.0,False
11998450,2,6,-33.02,False
11998450,2,7,10.0,False
11998450,2,8,-23.9,False
11998450,2,9,29.2,False
11998450,2,10,-18.32,False
11998450,2,11,10.0,False
11998450,2,12,-12.6,False
11998450,2,13,-10.0,False
11998450,3,1,-52.8,False
11998450,3,2,-35.56,True
11998450,3,3,-74.26,False
11998450,3,4,10.0,False
11998450,3,5,-73.1,False
11998450,3,6,12.4,False
11998450,3,7,-33.18,False
11998450,3,8,10.0,False
11998450,3,9,-63.9,False
11998451,1,1,-10.0,False
11998451,1,2,10.0,False
11998451,1,3,-26.38,False
11998451,1,4,10.0,False
11998451,1,5,-32.5,False
11998451,1,6,21.1,False
11998451,1,7,-26.8,False
11998451,1,8,10.0,False
11998451,1,9,-12.2,False
11998451,1,10,51.56,False
11998451,1,11,-10.0,False
11998451,1,12,10.0,False
11998451,1,13,65.0,False
11998451,2,1,10.0,False
11998451,2,2,-10.0,False
11998451,2,3,-35.52,True
11998451,2,4,-66.62,False
11998451,2,5,10.0,False
11998451,2,6,-38.34,False
11998451,2,7,-39.66,True
11998451,2,8,-25.26,False
11998451,3,1,10.0,False
11998451,3,2,-10.0,False
11998451,3,3,10.0,False
11998451,3,4,-35.36,False
11998451,3,5,43.76,False
11998451,3,6,62.82,True
11998451,3,7,55.02,False
11998451,3,8,-46.3,False
11998451,3,9,46.42,False
11998456,1,1,56.5,True
11998456,1,2,10.0,False
11998456,1,3,42.32,True
11998456,1,4,-53.38,True
11998456,1,5,-43.96,False
11998456,1,6,10.0,False
11998456,1,7,-12.9,False
11998456,1,8,-80.12,True
11998456,1,9,61.8,True
11998456,1,10,10.0,False
11998456,2,1,-10.0,False
11998456,2,2,25.46,False
11998456,2,3,-10.0,False
11998456,2,4,-19.8,True
11998456,2,5,-57.96,False
11998456,2,6,10.0,False
11998456,2,7,-14.46,False
11998456,2,8,10.0,False
11998456,2,9,-10.0,False
11998456,3,1,10.0,False
11998456,3,2,-29.66,False
11998456,3,3,10.0,False
11998456,3,4,-59.72,False
11998456,3,5,10.0,False
11998456,3,6,-19.86,False
11998456,3,7,10.0,False
