match_id,market_id,market_name,is_live,suspended,initial_fractional_value,fractional_value,choice_name,choice_source_id,winnig,change
12189718,12,total_games_won,False,False,1/1,5/6,Over,160044459,False,-1
12189718,12,total_games_won,False,False,8/11,5/6,Under,160044434,True,1
12189719,1,full_time,False,False,5/6,73/100,1,159736553,False,-1
12189719,1,full_time,False,False,5/6,1/1,2,159736610,True,1
12189719,11,first_set_winner,False,False,5/6,8/11,1,168482286,False,-1
12189719,11,first_set_winner,False,False,5/6,1/1,2,168482516,True,1
12189719,12,total_games_won,False,False,1/1,10/11,Over,168482162,False,-1
12189719,12,total_games_won,False,False,8/11,4/5,Under,168481902,True,1
12189720,1,full_time,False,False,4/5,67/100,1,159736545,False,-1
12189720,1,full_time,False,False,91/100,11/10,2,159736546,True,1
12189720,11,first_set_winner,False,False,4/5,4/6,1,160034885,False,-1
12189720,11,first_set_winner,False,False,10/11,11/10,2,160034930,True,1
12189720,12,total_games_won,False,False,1/1,4/5,Over,160034665,False,-1
12189720,12,total_games_won,False,False,8/11,10/11,Under,160034565,True,1
12189721,1,full_time,False,False,6/4,3/2,1,159736535,False,0
12189721,1,full_time,False,False,1/2,1/2,2,159736538,True,0
12189721,11,first_set_winner,False,False,6/5,5/4,1,160025191,True,1
12189721,11,first_set_winner,False,False,8/13,4/7,2,160025207,False,-1
12189721,12,total_games_won,False,False,1/1,10/11,Over,160025010,True,-1
12189721,12,total_games_won,False,False,8/11,4/5,Under,160024775,False,1
12189722,1,full_time,False,False,4/7,11/50,1,159736079,False,-1
12189722,1,full_time,False,False,5/4,3/1,2,159736250,True,1
12189722,11,first_set_winner,False,False,2/5,3/10,1,165534674,False,-1
12189722,11,first_set_winner,False,False,7/4,12/5,2,165534713,True,1
12189723,1,full_time,False,False,13/8,2/1,1,159735452,False,1
12189723,1,full_time,False,False,4/,9/25,2,159735625,True,1
12189723,11,first_set_winner,False,False,6/4,13/8,1,160014641,False,1
12189723,11,first_set_winner,False,False,1/2,4/9,2,160014650,True,-1
12189723,12,total_games_won,False,False,4/5,10/11,Over,160014635,False,1
12189723,12,total_games_won,False,False,10/11,4/5,Under,160014631,True,-1
12189724,1,full_time,False,False,5/6,1/1,1,159734623,False,1
12189724,1,full_time,False,False,5/6,73/100,2,159734858,True,-1
12189724,11,first_set_winner,False,False,5/6,1/1,1,160004292,True,1
12189724,11,first_set_winner,False,False,5/6,8/11,2,160004301,False,-1
12189724,12,total_games_won,False,False,10/11,10/11,Over,160004290,True,0
12189724,12,total_games_won,False,False,4/5,4/5,Under,160004284,False,0
12189725,1,full_time,False,False,2/,11/50,1,159734118,True,1
12189725,1,full_time,False,False,3/1,3/1,2,159734141,False,0
12189725,11,first_set_winner,False,False,3/10,3/10,1,159992788,True,0
12189725,11,first_set_winner,False,False,12/5,12/5,2,159992915,False,0
12189725,12,total_games_won,False,False,5/6,5/6,Over,159992743,False,0
12189725,12,total_games_won,False,False,5/6,5/6,Under,159992737,True,0
12189959,1,full_time,False,False,1/2,1/2,1,160054069,False,0
12189959,1,full_time,False,False,6/4,6/4,2,160054071,True,0
12189960,1,full_time,False,False,4/7,4/7,1,160063623,False,0
12189960,1,full_time,False,False,5/4,5/4,2,160063894,True,0
12189961,1,full_time,False,False,4/11,4/11,1,160054082,False,0
12189961,1,full_time,False,False,2/1,2/1,2,160054092,True,0
12189962,1,full_time,False,False,3/10,3/10,1,160054159,True,0
12189962,1,full_time,False,False,12/5,12/5,2,160054163,False,0
12189963,1,full_time,False,False,4/11,4/11,1,160053903,True,0
12189963,1,full_time,False,False,2/1,2/1,2,160053907,False,0
12189964,1,full_time,False,False,5/6,5/6,1,160054036,False,0
12189964,1,full_time,False,False,5/6,5/6,2,160054047,True,0
12189965,1,full_time,False,False,5/6,5/6,1,160054115,False,0
12189965,1,full_time,False,False,5/6,5/6,2,160054129,True,0
12190181,1,full_time,False,False,5/6,5/6,1,160589752,False,0
12190181,1,full_time,False,False,5/6,5/6,2,160589757,True,0
12190182,1,full_time,False,False,8/13,8/13,1,160589895,True,0
12190182,1,full_time,False,False,6/5,6/5,2,160589896,False,0
12190183,1,full_time,False,False,5/6,5/6,1,160589911,False,0
12190183,1,full_time,False,False,5/6,5/6,2,160589925,True,0
12190184,1,full_time,False,False,2/5,2/5,1,160589945,False,0
12190184,1,full_time,False,False,7/4,7/4,2,160589948,True,0
12190185,1,full_time,False,False,9/4,9/4,1,160589993,False,0
12190185,1,full_time,False,False,1/3,1/3,2,160590009,True,0
12190186,1,full_time,False,False,6/4,6/4,1,160590047,False,0
12190186,1,full_time,False,False,1/2,1/2,2,160590054,True,0
12190187,1,full_time,False,False,4/9,4/9,1,160590138,False,0
12190187,1,full_time,False,False,13/8,13/8,2,160590143,True,0
12190188,1,full_time,False,False,1/2,1/2,1,160590186,True,0
12190188,1,full_time,False,False,6/4,6/4,2,160590187,False,0
12190189,1,full_time,False,False,6/4,6/4,1,160590210,False,0
12190189,1,full_time,False,False,1/2,1/2,2,160590267,True,0
12190191,1,full_time,False,False,9/4,9/4,1,160590603,False,0
12190191,1,full_time,False,False,1/3,1/3,2,160590748,True,0
12190192,1,full_time,False,False,4/6,4/6,1,160590904,False,0
12190192,1,full_time,False,False,11/10,11/10,2,160591102,True,0
12190193,1,full_time,False,False,4/6,4/6,1,160591859,True,0
12190193,1,full_time,False,False,11/10,11/10,2,160591994,False,0
12190259,1,full_time,False,False,2/5,33/100,1,161084084,True,-1
12190259,1,full_time,False,False,7/4,9/4,2,161084260,False,1
12190259,11,first_set_winner,False,False,4/9,4/9,1,161109012,True,0
12190259,11,first_set_winner,False,False,13/8,13/8,2,161109027,False,0
12190259,12,total_games_won,False,False,5/6,5/6,Over,161423201,True,0
12190259,12,total_games_won,False,False,5/6,5/6,Under,161423196,False,0
12190260,1,full_time,False,False,57/100,67/100,1,161083496,True,1
12190260,1,full_time,False,False,5/4,11/10,2,161083568,False,-1
12190260,11,first_set_winner,False,False,8/13,8/11,1,161108510,True,1
12190260,11,first_set_winner,False,False,6/5,1/1,2,161108554,False,-1
12190260,12,total_games_won,False,False,10/11,10/11,Over,168416834,False,0
12190260,12,total_games_won,False,False,4/5,4/5,Under,168416821,True,0
12190262,1,full_time,False,False,1/2,1/2,1,161082651,True,0
12190262,1,full_time,False,False,6/4,3/2,2,161083128,False,0
12190262,11,first_set_winner,False,False,8/15,4/7,1,161107927,True,1
12190262,11,first_set_winner,False,False,11/8,5/4,2,161107970,False,-1
12190262,12,total_games_won,False,False,4/5,8/11,Over,161409778,False,-1
12190262,12,total_games_won,False,False,10/11,1/1,Under,161409536,True,1
12190266,1,full_time,False,False,5/6,69/50,1,161081981,False,1
12190266,1,full_time,False,False,5/6,53/100,2,161082022,True,-1
12190266,11,first_set_winner,False,False,5/6,5/4,1,161101902,False,1
12190266,11,first_set_winner,False,False,5/6,4/7,2,161102093,True,-1
12190268,1,full_time,False,False,1/2,2/5,1,161081401,True,-1
12190268,1,full_time,False,False,6/4,7/4,2,161081701,False,1
12190268,11,first_set_winner,False,False,4/7,1/2,1,161099057,True,-1
12190268,11,first_set_winner,False,False,5/4,6/4,2,161099209,False,1
12190270,1,full_time,False,False,7/4,11/4,1,161081119,,1
12190270,1,full_time,False,False,2/5,1/4,2,161081168,,-1
12190270,11,first_set_winner,False,False,6/4,9/4,1,161095984,,1
12190270,11,first_set_winner,False,False,1/2,1/3,2,161096343,,-1
12190270,12,total_games_won,False,False,4/5,5/6,Over,161386992,,1
12190270,12,total_games_won,False,False,10/11,5/6,Under,161386983,,-1
12190272,1,full_time,False,False,163/100,12/5,1,161080888,,1
12190272,1,full_time,False,False,11/25,3/10,2,161080970,,-1
12190272,11,first_set_winner,False,False,11/8,7/4,1,161093206,,1
12190272,11,first_set_winner,False,False,8/15,2/5,2,161093365,,-1
12190274,1,full_time,False,False,1/2,53/100,1,161080666,False,1
12190274,1,full_time,False,False,3/2,69/50,2,161080707,True,-1
12190274,11,first_set_winner,False,False,4/7,4/7,1,161092731,False,0
12190274,11,first_set_winner,False,False,5/4,5/4,2,161092817,True,0
12190274,12,total_games_won,False,False,8/11,1/1,Over,161364777,False,1
12190274,12,total_games_won,False,False,1/1,8/11,Under,161364506,True,-1
12190275,1,full_time,False,False,83/100,91/100,1,161080338,True,1
12190275,1,full_time,False,False,83/100,4/5,2,161080425,False,-1
12190275,11,first_set_winner,False,False,5/6,10/11,1,161092163,True,1
12190275,11,first_set_winner,False,False,5/6,4/5,2,161092223,False,-1
12190275,12,total_games_won,False,False,5/6,10/11,Over,161351458,True,1
12190275,12,total_games_won,False,False,5/6,4/5,Under,161351406,False,-1
12190277,1,full_time,False,False,11/10,11/10,1,161080030,False,0
12190277,1,full_time,False,False,4/6,67/100,2,161080134,True,-1
12190277,11,first_set_winner,False,False,5/6,1/1,1,161089011,False,1
12190277,11,first_set_winner,False,False,5/6,8/11,2,161089373,True,-1
12190277,12,total_games_won,False,False,5/6,5/6,Over,161341262,True,0
12190277,12,total_games_won,False,False,5/6,5/6,Under,161341252,False,0
12190408,1,full_time,False,False,2/5,2/5,1,161396300,True,0
12190408,1,full_time,False,False,7/4,7/4,2,161396387,False,0
12190408,11,first_set_winner,False,False,8/15,8/15,1,161398339,True,0
12190408,11,first_set_winner,False,False,11/8,11/8,2,161398347,False,0
12190424,1,full_time,False,False,1/7,1/7,1,162091852,True,0
12190424,1,full_time,False,False,4/1,4/1,2,162091865,False,0
12190430,1,full_time,False,False,4/11,4/11,1,162095123,True,0
12190430,1,full_time,False,False,2/1,2/1,2,162095169,False,0
12190434,1,full_time,False,False,9/2,9/2,1,162092086,False,0
12190434,1,full_time,False,False,1/8,1/8,2,162092268,True,0
12190436,1,full_time,False,False,7/4,7/4,1,162094967,False,0
12190436,1,full_time,False,False,2/5,2/5,2,162094987,True,0
12190444,1,full_time,False,False,1/8,1/8,1,162090577,True,0
12190444,1,full_time,False,False,9/2,9/2,2,162090694,False,0
12190452,1,full_time,False,False,5/6,5/6,1,162095342,False,0
12190452,1,full_time,False,False,5/6,5/6,2,162095386,True,0
12190453,1,full_time,False,False,10/11,10/11,1,162093942,False,0
12190453,1,full_time,False,False,4/5,4/5,2,162094107,True,0
12190495,1,full_time,False,False,1/2,1/2,1,162250717,False,0
12190495,1,full_time,False,False,6/4,6/4,2,162250855,True,0
12190537,1,full_time,False,False,1/2,1/2,1,162250298,True,0
12190537,1,full_time,False,False,6/4,6/4,2,162250353,False,0
12190557,1,full_time,False,False,8/11,8/11,1,162217758,True,0
12190557,1,full_time,False,False,1/1,1/1,2,162217997,False,0
12190658,1,full_time,False,False,4/11,4/11,1,163153826,True,0
12190658,1,full_time,False,False,2/1,2/1,2,163153834,False,0
12190746,1,full_time,False,False,4/5,4/5,1,162495749,True,0
