match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
12021518,3599,2973,,,,1706785238
12021519,2272,2626,,,,1706782426
12021521,2193,2609,,,,1706786473
12021522,2698,1382,,,,1706779519
12021530,2209,1384,,,,1706787162
12021532,3003,2103,,,,1706776332
12021538,3809,4967,2250,,,1706800065
12021539,2286,2740,,,,1706779373
12021558,14085,2025,,,,1706720578
12021562,1853,2723,,,,1706785313
12021566,3549,4159,3407,,,1706794881
12021581,2844,3652,3550,,,1706781814
12021589,2618,2623,,,,1706781047
12021590,3064,1382,,,,1706779836
12021599,3356,2449,,,,1706781243
12021601,1603,2730,1699,,,1706708159
12021605,2584,2779,2112,,,1706783899
12021622,2000,3947,,,,1706787239
12021623,2778,1984,,,,1706774055
12021624,1099,2710,,,,1706779533
12021658,1937,2957,,,,1706800086
12021659,2575,2454,,,,1706783425
12021806,2562,3790,2956,,,1706781609
12021807,1631,2447,,,,1706776592
12021848,2890,3321,,,,1706778661
12022185,3198,1237,,,,1706780510
12022248,2000,2618,,,,1706779083
12022250,2713,2397,2105,,,1706794654
12022251,2185,2403,,,,1706773483
12022262,3013,1540,,,,1706787138
12022282,1878,2447,,,,1706805731
12022295,2095,1426,,,,1706779264
12022305,2126,1952,2212,,,1706790533
12022321,2412,2319,4984,,,1706795763
12022327,1672,2130,1107,,,1706782683
12022336,1932,3725,,,,1706778967
12022371,1503,2187,,,,1706790369
12022396,4329,3598,1554,,,1706783454
12022430,3105,4378,2681,,,1706794483
12022438,2802,2893,2327,,,1706780904
12022439,2335,1705,,,,1706784667
12022452,2158,2741,,,,1706785234
12022453,3560,2605,,,,1706780308
12022492,2266,1725,2669,,,1706804231
12022513,2998,2760,2556,,,1706794909
12022525,2366,2321,,,,1706785833
12022526,2531,4533,2974,,,1706803411
12022527,3085,2224,,,,1706787220
12022528,,,,,,
12022562,1785,2499,,,,1706812717
12022672,3212,2997,1873,,,1706797435
12022674,3530,2138,,,,1706791341
12022675,1398,1794,,,,1706794613
12022680,2514,2204,,,,1706787759
12022685,2873,5149,,,,1706806496
12022703,1779,1791,,,,1706805450
12022718,1941,3029,2292,,,1706802854
12022727,2590,2995,2402,,,1706809253
12022801,3125,2118,,,,1706806759
12022802,2535,1471,,,,1706814963
12023335,1641,2788,3441,,,1706836913
12023340,2391,1688,,,,1706845722
12023348,1612,2251,,,,1706845537
12023350,2831,3047,1593,,,1706855829
12023352,4004,3489,,,,1706863024
12023353,3737,2254,1393,,,1706874610
12023361,,,,,,
12023362,3611,3083,,,,1706847193
12023461,2740,2146,3292,,,1706854063
12023462,2157,1578,2040,,,1706836515
12023465,,,,,,1706849314
12023470,2573,2796,4552,,,1706837917
12024041,2717,1556,,,,1706868355
12024043,2289,2872,,,,1706873868
12024064,3330,2376,2062,,,1706854693
12024149,3547,2039,,,,1706858329
12024225,2498,2344,,,,1706860466
12024232,2300,3164,,,,1706867962
12024235,1625,3751,,,,1706874594
12024236,2514,2753,,,,1706865665
12024243,2094,2690,2447,,,1706862703
12024248,1805,3181,,,,1706865111
12024249,4721,3343,,,,1706871086
12024252,4919,2874,,,,1706862592
12024254,2484,2302,,,,1706863968
12024307,3421,3170,,,,1706868068
12024308,2153,3640,,,,1706859902
12024356,2588,500,,,,1706863923
12024368,3713,2932,,,,1706883493
12024386,2773,2846,,,,1706883826
12024387,3784,4650,3882,,,1706874757
12024430,3081,2202,,,,1706864589
12024431,3114,2963,,,,1706860978
12024440,2643,2262,,,,1706867420
12024550,,,,,,
12024572,5122,4765,,,,1706866418
12024628,2594,2893,,,,1706867066
12024632,2351,2767,,,,1706863866
12024643,2323,2379,,,,1706816220
12024644,3257,3002,1921,,,1706887634
12024645,3258,3624,,,,1706866720
12024652,1967,1791,,,,1706863428
12024769,2289,2193,,,,1706872618
12024782,2209,1525,,,,1706874201
12024913,2086,3750,,,,1706869845
12025016,2950,3952,,,,1706875974
12025030,1614,2634,3243,,,1706877035
12025056,3322,3131,,,,1706873824
12025057,1847,2396,,,,1706878337
12025085,3216,2861,3041,,,1706881844
12025144,2225,3431,1943,,,1706885028
12025672,7178,1885,2032,,,1706867004
11974052,,,,,,
11974053,,,,,,
11974066,,,,,,
11974067,,,,,,
11974068,,,,,,
11974071,,,,,,
11987997,,,,,,
11998445,3259,2639,4202,,,1706816851
11998446,2488,2375,,,,1706803981
11998447,3741,1913,,,,1706798459
11998452,2510,3205,,,,1706908166
11998453,2815,1950,,,,1706892566
11998454,4711,2622,,,,1706901936
11998456,2218,2419,2975,,,1706885719
11998459,3410,1771,,,,1706825521
11998664,3412,4202,2614,,,1706930979
11998666,2266,5163,,,,1706845650
11998667,2508,2868,2528,,,1706839979
11998670,2034,4025,2265,,,1706845643
11998671,2628,2385,,,,1706851439
11998673,2660,2732,,,,1706937035
11998772,3390,3964,2897,,,1706810881
11998776,1939,2760,2034,,,1706894904
11998777,4269,3031,2601,,,1706905083
11998779,1785,2831,,,,1706919653
11998780,2377,3552,3386,,,1706809894
11998781,2320,3524,2531,,,1706914243
11998784,2087,3020,,,,1706816644
11998786,1986,2291,,,,1706833363
11999004,3385,3086,,,,1706820143
11999005,2881,3244,2306,,,1706813472
11999006,2444,2206,,,,1706902286
11999007,4014,3007,,,,1706802394
11999009,2496,4137,,,,1706799247
11999011,1537,1333,,,,1706794515
11999014,1856,2256,3427,,,1706882058
11999015,2109,2887,,,,1706888416
11999018,1863,2713,,,,1706969416
11999019,2367,2960,,,,1706895888
11999206,4048,3943,,,,1706895911
11999207,1969,3205,2351,,,1706888273
11999208,1106,4343,,,,1706884358
11999211,1643,2123,3446,,,1706801926
11999212,2159,3193,,,,1706795201
11999213,1859,1409,,,,1706801321
11999214,1675,2978,,,,1706891593
11999219,1920,2178,,,,1706794723
12001944,,,,,,
12001976,,,,,,
