match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
12172003,2,,,JPbbstEBc,2,3,1710921600,ruzic-hruncakova,False
12172004,2,,,dyfcsWAAc,1,3,1710927000,maklakova-erjavec,False
12172005,1,,,ANpsmxpc,1,3,1710936000,rogers-savinykh,False
12172006,1,,,XuDbsjoEb,2,3,1710921600,liang-kucmova,False
12172008,1,,,FWYsEdDb,1,3,1710923400,oliel-kyratzis,False
12172009,1,,,JuRbshpCc,2,3,1710941400,ambrosio-sakatsume,False
12172010,2,,,voAsghMc,2,3,1710940200,milic-ponchet,False
12172011,1,,,AhybsFucd,1,3,1710925500,pennaforti-efstathiou,False
12172142,1,,,fNOsrLKd,1,3,1710889200,zylberman-inglis,False
12172147,1,,,IFObsWMEd,1,3,1710889200,kokkinis-naito,False
12172152,2,,,IAYbsGwcc,2,3,1710899700,hosogi-barry,False
12172155,2,,,BeVbsDamd,2,3,1710894600,cvijanovic-smith,False
12172157,2,,,yWacsxhId,2,3,1710899700,subasic-kovapitukted,False
12172206,2,,,Ujcbszvrb,1,3,1710918000,tomescu-neos,False
12172207,1,,,HaEbshOKc,1,3,1710910800,costoulas-chikaraishi,False
12172212,1,,,oyQbsmbVb,2,3,1710924000,azoides-goodger,False
12172213,1,,,YJwbsQOLd,2,3,1710912000,miyata-yoshioka,False
12172217,1,,,fvidsVftd,1,3,1710931200,baldisserri-bozemoj,False
12172218,1,,,hEybsPRMd,2,3,1710896400,kitahara-kobori,False
12172221,1,,,zfLscZfc,2,3,1710896100,nishimoto-manasse,False
12172224,2,,,xqDsYwmb,2,3,1710902400,arakawa-morisaki,False
12172227,1,,,IlCbsmZFb,2,3,1710915000,malogina-morvayova,False
12172230,2,,,wVLdsQRMd,1,3,1710923100,nayuki-matsumura,False
12172233,2,,,HoEdsvVLd,2,3,1710896400,tominaga-nishimura,False
12172305,1,,,urysVKUb,1,3,1710894300,gaal-bolt,False
12172307,1,,,POlbskNXb,1,3,1710904800,rai-pearson,False
12172308,2,,,yJGscOKc,1,3,1710899400,mccabe-delaney-ja,False
12172309,2,,,PHXsfRHd,2,3,1710889200,joyce-ellis,False
12172311,2,,,vJgstJQb,2,3,1710879300,virtanen-bautista-agut,False
12172402,1,,,zBZstTac,2,3,1710866400,tauson-dolehide,False
12172410,2,,,MCvsfbU,2,3,1710873900,bronzetti-townsend,False
12172412,2,,,eBtsYmOb,1,3,1710878100,wang-xiy-schmiedlova,False
12172413,1,,,iapszFq,1,3,1710867300,krunic-siegemund,False
12172414,1,,,RMgbsiYJc,2,3,1710876600,fruhvirtova-carle,False
12172544,2,,,ORtcsHbwc,2,3,1710900600,heide-aboian,False
12172546,2,,,CrJsrNcd,2,3,1710896400,zanellato-villanueva,False
12172549,2,,,iUZspVuc,2,3,1710886500,bueno-cukierman,False
12172553,2,,,cHhbszpBc,2,3,1710896100,torres-weis,False
12172555,1,,,QNEsEGRb,2,3,1710879900,rodriguez-couacaud,False
12172646,2,,,aYedsiJId,2,3,1710903300,watt-jones,False
12172647,1,,,hPGcsYEEd,1,3,1710894300,patton-braithwaite,False
12172648,1,,,mUpsJMgc,2,3,1710903300,birrell-saville,False
12172649,2,,,rjybsjULc,1,3,1710896700,gray-ochi,False
12172650,1,,,TKUbsMdvc,1,3,1710889200,volonski-bayldon,False
12172651,1,,,CZKbskvLb,1,3,1710905400,ferguson-naumovski,False
12172652,2,,,jyfcsFlfd,2,3,1710894300,marinkov-ryan-ziegann,False
12172734,1,,,InksmxXb,1,3,1710902100,yang-bai,False
12172735,2,,,RlzskQJd,2,3,1710903000,zhang-lee,False
12172736,2,,,rdMscnOb,2,3,1710895800,shiraishi-castelnuovo,False
12172737,1,,,FLGbsnnLb,2,3,1710914700,mochizuki-huang,False
12172740,2,,,mzfbswQbe,1,3,1710935400,omarkhanov-oradini,False
12172741,2,,,GuObsNFOb,2,3,1710923400,arnaboldi-de-krom,False
12172742,1,,,YomcsIPLd,2,3,1710933300,maricic-martinovic,False
12172743,1,,,JPObsWbRc,1,3,1710923400,sorger-pavlovic,False
12172745,1,,,IKGszFFc,1,3,1710928800,pecci-madarasz,False
12172746,2,,,PGOcsefud,2,3,1710929400,vulpitta-mikrut,False
12172747,2,,,aHjbsAVBb,1,3,1710926400,sureshkumar-sultanov,False
12172749,2,,,qhXshelc,1,3,1710916800,hans-sasikumar,False
12172751,1,,,JCxbswNXb,2,3,1710918000,banthia-sinha,False
12172752,2,,,ewbdsbhud,2,3,1710912600,leong-singh,False
12172756,1,,,MiDbsvFDb,1,3,1710924600,toma-vismane,False
12172758,1,,,hpFbszntc,2,3,1710933600,steur-lemaitre,False
12172759,2,,,DazsoZC,1,3,1710936000,estable-zeballos,False
12172760,1,,,Ecccsfoee,1,3,1710924600,sala-sanchez-dakovic,False
12172764,1,,,ZaRbstyLc,1,3,1710924900,gavrielides-jianu,False
12172767,2,,,Mwxsvzob,1,3,1710926100,pavel-metreveli,False
12172770,2,,,gKccsiLmd,2,3,1710923100,searle-lane,False
12172771,1,,,RDDbstvIc,2,3,1710929700,pfeifer-kanev,False
12172772,1,,,LqdcsWTGd,1,3,1710927000,karahan-vankan,False
12172773,2,,,hiddswrtd,1,3,1710923400,waligora-degroot,False
12172774,1,,,tcibsXeZc,1,3,1710923100,avcibasi-tessa,False
12172775,1,,,GzhsJtkc,2,3,1710934200,sall-paszek,False
12172780,2,,,Cmgcsykkd,2,3,1710941280,hrazdil-gima,False
12172790,1,,,bePbsJuvc,1,3,1710936300,gram-bertoldo,False
12172792,1,,,NBEbsTHod,2,3,1710930000,phanthala-hoedt,False
12172798,1,,,VkJbskbYb,1,3,1710941700,rakotomalala-oliver-sanchez,False
12172802,2,,,LkZcszfed,1,3,1710925200,rakotomanga-rajaonah-di-girolami,False
12172806,2,,,EhRbsdKgd,2,3,1710937800,bertea-schmidt,False
12172810,2,,,VYBcstxid,1,3,1710938400,bradshaw-xilas,False
12172811,2,,,DDGcsueed,2,3,1710924900,gennaro-radovanovic,False
12172814,2,,,RUgcsMKXc,2,3,1710932400,andre-wendelken,False
12172815,1,,,kucdsgQde,1,3,1710929100,lansaman-gaillard,False
12172823,1,,,kyfbsJtac,1,3,1710935400,sakellaridi-squarcialupi,False
12172824,1,,,zcPcszijd,1,3,1710921600,cohen-buchnik,False
12172830,2,,,vbvbsbEKb,2,3,1710925200,lopez-morillo-fonio,False
12172831,1,,,WYLbsjXpd,2,3,1710933600,gil-garcia-marti-pujolras,False
12172832,2,,,OzNsJuOb,1,3,1710932700,pontjodikromo-durasovic,False
12172833,1,,,pQgscDab,2,3,1710925200,denolly-chazal,False
12172834,2,,,XDmcsFoZc,2,3,1710925200,melero-kretzer-alcala-gurri,False
12172835,2,,,BxuswYad,1,3,1710933000,puig-molin-giustino,False
12172836,,,,YAosvNFd,,3,1710928800,sanchez-quilez-diez,False
12172847,2,,,xCebseeud,2,3,1710889200,dodaj-parnaby,False
12172848,2,,,DAgcsNEEd,1,3,1710889200,sandhu-compuesto,False
12172849,2,,,DjcdsXdqd,1,3,1710897600,baker-rokusek,False
12172850,1,,,ApLbsAjcd,2,3,1710895500,carbis-da-silva-fick,False
12172851,2,,,MbIbsPiee,2,3,1710894300,debrincat-thompson,False
12172852,1,,,bCkcsGamd,1,3,1710889200,yan-krish,False
12172853,1,,,cbUbsZUHd,1,3,1710889200,gaft-matsuda,False
12172976,2,,,XJKbsCmTb,2,3,1710900300,hulme-liu,False
